t_start_file ,t_filter, x, y, z, r, p, y, u, v, h, rRate, pRate, yRate, cx, cx, bx, by, bz, t_real, x_real, y_real, z_real, r_real, p_real, y_real, u_real, v_real, h_real, rRate_real, pRate_real, yRate_real, t_motor,hp, hs
1594377508.812093,1594377508.699858,44.393081,8.945160,0.435762,0.000000,0.000000,0.986963,0.999917,0.000000,0.000000,0.000000,0.000000,0.007613,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.682406,44.393081,8.945160,0.000000,0.000000,0.000000,0.987725,0.999919,0.000000,0.000000,0.000000,0.000000,0.007619,1594377508.641505,20.729679,19.111474
1594377508.912584,1594377508.793446,44.393081,8.945161,0.435745,0.000000,0.000000,0.987725,0.999919,0.000000,0.000000,0.000000,0.000000,0.007619,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.782324,44.393081,8.945161,0.000000,0.000000,0.000000,0.988487,0.999922,0.000000,0.000000,0.000000,0.000000,0.007625,1594377508.741932,20.729244,19.112317
1594377509.012698,1594377508.895720,44.393082,8.945162,0.435727,0.000000,0.000000,0.988487,0.999922,0.000000,0.000000,0.000000,0.000000,0.007625,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.882394,44.393082,8.945162,0.000000,0.000000,0.000000,0.989250,0.999924,0.000000,0.000000,0.000000,0.000000,0.007630,1594377508.844042,20.728460,19.113490
1594377509.112489,1594377508.997440,44.393082,8.945163,0.435710,0.000000,0.000000,0.989250,0.999924,0.000000,0.000000,0.000000,0.000000,0.007630,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.982557,44.393082,8.945163,0.000000,0.000000,0.000000,0.990014,0.999927,0.000000,0.000000,0.000000,0.000000,0.007633,1594377508.945477,20.727823,19.114451
1594377509.212233,1594377509.099623,44.393083,8.945164,0.435692,0.000000,0.000000,0.990014,0.999927,0.000000,0.000000,0.000000,0.000000,0.007633,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.082574,44.393083,8.945164,0.000000,0.000000,0.000000,0.990778,0.999929,0.000000,0.000000,0.000000,0.000000,0.007637,1594377509.045916,20.727694,19.114813
1594377509.312569,1594377509.194177,44.393083,8.945165,0.435675,0.000000,0.000000,0.990778,0.999929,0.000000,0.000000,0.000000,0.000000,0.007637,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.182560,44.393083,8.945165,0.000000,0.000000,0.000000,0.991542,0.999932,0.000000,0.000000,0.000000,0.000000,0.007639,1594377509.146606,20.726499,19.116298
1594377509.412708,1594377509.301466,44.393084,8.945166,0.435657,0.000000,0.000000,0.991542,0.999932,0.000000,0.000000,0.000000,0.000000,0.007639,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.282488,44.393084,8.945166,0.000000,0.000000,0.000000,0.992305,0.999935,0.000000,0.000000,0.000000,0.000000,0.007641,1594377509.245842,20.725630,19.117390
1594377509.512205,1594377509.397770,44.393084,8.945167,0.435640,0.000000,0.000000,0.992305,0.999935,0.000000,0.000000,0.000000,0.000000,0.007641,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.382509,44.393084,8.945167,0.000000,0.000000,0.000000,0.993069,0.999937,0.000000,0.000000,0.000000,0.000000,0.007642,1594377509.345984,20.724741,19.118469
1594377509.612095,1594377509.493659,44.393085,8.945168,0.435622,0.000000,0.000000,0.993069,0.999937,0.000000,0.000000,0.000000,0.000000,0.007642,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.482724,44.393085,8.945168,0.000000,0.000000,0.000000,0.993835,0.999940,0.000000,0.000000,0.000000,0.000000,0.007642,1594377509.446129,20.723770,19.119608
1594377509.712430,1594377509.593174,44.393085,8.945169,0.435605,0.000000,0.000000,0.993835,0.999940,0.000000,0.000000,0.000000,0.000000,0.007642,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.582389,44.393085,8.945169,0.000000,0.000000,0.000000,0.994597,0.999943,0.000000,0.000000,0.000000,0.000000,0.007642,1594377509.546646,20.722625,19.120909
1594377509.812098,1594377509.693718,44.393086,8.945170,0.435588,0.000000,0.000000,0.994597,0.999943,0.000000,0.000000,0.000000,0.000000,0.007642,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.682362,44.393086,8.945170,0.000000,0.000000,0.000000,0.995361,0.999945,0.000000,0.000000,0.000000,0.000000,0.007641,1594377509.646111,20.721634,19.122017
1594377509.912673,1594377509.796693,44.393086,8.945171,0.435570,0.000000,0.000000,0.995361,0.999945,0.000000,0.000000,0.000000,0.000000,0.007641,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.782887,44.393086,8.945171,0.000000,0.000000,0.000000,0.996129,0.999948,0.000000,0.000000,0.000000,0.000000,0.007639,1594377509.746180,20.720676,19.123067
1594377510.012293,1594377509.893518,44.393087,8.945172,0.435553,0.000000,0.000000,0.996129,0.999948,0.000000,0.000000,0.000000,0.000000,0.007639,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.882451,44.393087,8.945172,0.000000,0.000000,0.000000,0.996889,0.999951,0.000000,0.000000,0.000000,0.000000,0.007636,1594377509.845907,20.719772,19.124041
1594377510.112339,1594377509.993558,44.393087,8.945173,0.435536,0.000000,0.000000,0.996889,0.999951,0.000000,0.000000,0.000000,0.000000,0.007636,0.000000,0.000000,0.000000,0.000000,0.000000,1594377509.982571,44.393087,8.945173,0.000000,0.000000,0.000000,0.997654,0.999953,0.000000,0.000000,0.000000,0.000000,0.007634,1594377509.945818,20.718673,19.125210
