time,orthogonalstrength_x,orthogonalstrength_y,orthogonalstrength_z
1567977345.631187,23463999999.999996,-1050999999.9999999,39746000000.0
1567977345.7312336,23463999999.999996,-1050999999.9999999,39746000000.0
1567977345.8312426,23463999999.999996,-1050999999.9999999,39746000000.0
1567977345.9311142,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.0311902,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.1312957,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.2311943,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.3312228,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.4312603,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.5311801,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.6311169,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.7311783,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.8312507,23463999999.999996,-1050999999.9999999,39746000000.0
1567977346.9311886,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.0311415,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.1312244,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.231196,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.331157,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.4312756,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.5312338,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.6311405,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.7311513,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.8311863,23463999999.999996,-1050999999.9999999,39746000000.0
1567977347.9311476,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.0313299,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.131121,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.231146,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.3313453,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.4312284,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.531296,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.6311862,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.7312913,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.8313653,23463999999.999996,-1050999999.9999999,39746000000.0
1567977348.9313576,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.031131,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.131161,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.231224,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.3312318,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.4311383,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.5312693,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.631125,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.7311468,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.8311987,23463999999.999996,-1050999999.9999999,39746000000.0
1567977349.9312208,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.0311756,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.131136,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.2311127,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.3311052,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.431253,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.5311282,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.6311858,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.7312362,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.8311307,23463999999.999996,-1050999999.9999999,39746000000.0
1567977350.9312582,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.031119,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.131257,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.231132,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.3313353,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.4313335,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.5312018,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.6311393,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.7311082,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.831202,23463999999.999996,-1050999999.9999999,39746000000.0
1567977351.9311392,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.03119,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.1311026,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.2311096,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.331232,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.4311159,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.5313132,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.6311307,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.731125,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.8313472,23463999999.999996,-1050999999.9999999,39746000000.0
1567977352.9311268,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.03115,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.1311762,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.231125,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.3312635,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.4312527,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.531364,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.6311836,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.7312376,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.8311322,23463999999.999996,-1050999999.9999999,39746000000.0
1567977353.9312255,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.0311124,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.1313417,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.2310998,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.3312902,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.4311209,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.5312617,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.631137,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.731199,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.8312695,23463999999.999996,-1050999999.9999999,39746000000.0
1567977354.9311554,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.0311387,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.131262,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.2311234,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.3311963,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.4312346,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.5312412,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.6312344,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.7311702,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.8311095,23463999999.999996,-1050999999.9999999,39746000000.0
1567977355.9311488,23463999999.999996,-1050999999.9999999,39746000000.0
1567977356.0311751,23463999999.999996,-1050999999.9999999,39746000000.0
1567977356.131137,23463999999.999996,-1050999999.9999999,39746000000.0
1567977356.2312915,23463999999.999996,-1050999999.9999999,39746000000.0
1567977356.3311932,23463999999.999996,-1050999999.9999999,39746000000.0
1567977356.4312003,23463999999.999996,-1050999999.9999999,39746000000.0
1567977356.5311415,23463999999.999996,-1050999999.9999999,39746000000.0
1567977356.631195,23463999999.999996,-1050999999.9999999,39746000000.0
