time,latitude,longitude,vehicle_heading,vehicle_speed,vehicle_state,vehicle_track,llc_status
1567977318.5460353,44.392800212180525,8.943944574694115,4.274030811393455,2.346618883997652,LatLong Move,4.273050915467309,0
1567977318.6464555,44.392799316222664,8.943941910862849,4.273530894692115,2.34449751145435,LatLong Move,4.272586198184889,0
1567977318.7464845,44.392798418489186,8.943939245145081,4.2730501738322175,2.3427022984795602,LatLong Move,4.272149208706054,0
1567977318.8463798,44.39279751989507,8.943936580147314,4.272585494590867,2.341257177154807,LatLong Move,4.2717327470784685,0
1567977318.946112,44.392796621585106,8.943933919115441,4.272148541185977,2.3400310139545617,LatLong Move,4.271306859684998,0
1567977319.0464492,44.39279572313292,8.943931260599431,4.271732021668726,2.338859810008999,LatLong Move,4.270850080444184,0
1567977319.1459954,44.3927948223136,8.943928597972254,4.2713057327721415,2.337612530106723,LatLong Move,4.270366502427997,0
1567977319.2466278,44.39279392451778,8.943925947304999,4.270849253852049,2.336181924371459,LatLong Move,4.269863812453895,0
1567977319.346256,44.39279302455435,8.943923293475537,4.270365634081152,2.3344529196274313,LatLong Move,4.269336681365255,0
1567977319.446329,44.39279212321723,8.943920638986613,4.2698624899968465,2.3323570258267616,LatLong Move,4.268785687275017,0
1567977319.5459642,44.392791223699334,8.943917993373553,4.269335675318423,2.3299622692425146,LatLong Move,4.268231818652744,0
1567977319.6465816,44.39279032264185,8.943915346921145,4.268784230734742,2.3274101470552995,LatLong Move,4.267697479092286,0
1567977319.747198,44.392789423170356,8.943912708901351,4.268231012449318,2.3248488385833532,LatLong Move,4.267188990098186,0
1567977319.8463607,44.3927885211324,8.943910067071648,4.267696117710649,2.322387631619935,LatLong Move,4.266701106430524,0
1567977319.9464536,44.39278762040574,8.943907432623895,4.267187684345622,2.3201413197994563,LatLong Move,4.266234720836575,0
1567977320.0466888,44.39278672009861,8.943904802771327,4.266700258429658,2.318194707995937,LatLong Move,4.26579031084588,0
1567977320.1463492,44.39278581893956,8.943902173658879,4.266233532399493,2.3165392727226686,LatLong Move,4.26535603445952,0
1567977320.2464457,44.39278491671548,8.943899544518496,4.265789177971886,2.31505774336702,LatLong Move,4.264909867448033,0
1567977320.3459704,44.39278401696146,8.943896925521491,4.26535489658462,2.313614514180801,LatLong Move,4.264440356427178,0
1567977320.4465435,44.392783115720135,8.94389430514737,4.264908892479841,2.3120864817897893,LatLong Move,4.263946560537718,0
1567977320.5463443,44.392782213749136,8.94389168572302,4.2644391140080025,2.3103605532262574,LatLong Move,4.263430945999028,0
1567977320.6468718,44.392781310808836,8.943889066719468,4.263945258290443,2.3083434954755484,LatLong Move,4.262892687682303,0
1567977320.7467563,44.39278040839729,8.943886452629286,4.2634295857385975,2.3060038747024167,LatLong Move,4.262337392272361,0
1567977320.8464077,44.3927795074215,8.943883846211103,4.2628917526577865,2.303421504016872,LatLong Move,4.2617854714070305,0
1567977320.946356,44.39277860358994,8.94388123518558,4.262336339403685,2.300705844736623,LatLong Move,4.261248815255101,0
1567977321.0467043,44.39277770221274,8.94387863493895,4.261784039158194,2.2979843378930656,LatLong Move,4.260733046243175,0
1567977321.1459918,44.39277679928602,8.943876033843853,4.261247399107356,2.2953829129863617,LatLong Move,4.260238815275436,0
1567977321.247006,44.39277589523797,8.9438734330092,4.260731720660123,2.2930024526115056,LatLong Move,4.259765882603107,0
1567977321.346161,44.392774992738865,8.94387083996569,4.26023781832812,2.2908849630163015,LatLong Move,4.259309804570439,0
1567977321.446548,44.39277409152638,8.943868253801883,4.259765147004817,2.2890158047427405,LatLong Move,4.25885768145341,0
1567977321.5463395,44.3927731870678,8.943865661385521,4.259308628391217,2.2872903379803358,LatLong Move,4.258395004178574,0
1567977321.646402,44.3927722854263,8.943863080014806,4.258856886371014,2.2855840386868436,LatLong Move,4.2579118598546835,0
1567977321.7462258,44.39277138365012,8.943860501249642,4.2583937817687385,2.283780290026898,LatLong Move,4.25740536921381,0
1567977321.8461752,44.39277048073532,8.943857922323225,4.2579105790677865,2.2817799291760186,LatLong Move,4.256878072713953,0
1567977321.9462557,44.39276957693961,8.943855344115178,4.257404465630032,2.279491454301331,LatLong Move,4.256328722656502,0
